"name","brand","price","weight","height","bestuse","seasons","capacity"
"hubba-1p","msr",249.95,1280,102,"Backpacking","3-season","1-person"
"hubba-hubba-2p","msr",299.95,1810,102,"Backpacking","3-season","2-person"
"carbon-reflex-3","msr",599.95,1960,117,"Backpacking","3-season","3-person"
"carbon-reflex-2","msr",499.95,1220,100,"Backpacking","3-season","2-person"
"holler-3","msr",399.95,2720,114,"Backpacking","3-season","3-person"
"carbon-reflex-1","msr",449.95,960,94,"Backpacking","3-season","1-person"
"mutha-hubba","msr",399.95,2890,117,"Backpacking","3-season","3-person"
"fury-2","msr",499.95,2780,114,"Mountaineering","4-season","2-person"
"fast-stash-shelter","msr",299.95,1020,122,"Backpacking","3-season","2-person"
"backcountry-barn","msr",699.95,6662.1,190,"Carcamping","3-season","4-person"
